usertype,day_of_week,total_no_of_rides,mean_ride_length,max_ride_length
Subscriber,5,63983,11.517684384914567,12659
Subscriber,6,59672,13.399198954283424,65507
Subscriber,3,58277,13.878562726290083,101607
Subscriber,4,57925,11.605455330168409,11096
Subscriber,2,48507,14.14346382996273,94162
Subscriber,7,29309,16.497867549217009,22805
Subscriber,1,24233,16.306317831056941,43214
Customer,7,5993,59.841314867345119,39315
Customer,1,3766,41.091078066914385,7962
Customer,6,3375,59.397629629629527,56782
Customer,5,2920,133.2986301369863,177200
Customer,3,2728,39.9615102639296,4283
Customer,4,2489,51.462836480514234,29414
Customer,2,1892,43.964587737843516,8640